Time CPU_use RAM_filled Net_bytes_sent Net_bytes_received Temperature Disk_IO_percentage
14:49:52 6.6 909537280 708726901 83082753 44.79 0.07410863652399541
14:49:53 5.7 909172736 708727149 83083001 43.816 0.07419967907500769
14:49:54 6.9 909430784 708727397 83083249 43.329 0.07419967907500769
14:49:55 5.9 909271040 708727687 83083557 43.329 0.07419947641571918
14:49:56 6.6 909164544 708727935 83083805 43.329 0.07419947641571918
14:49:57 7.4 909885440 708728183 83084053 43.329 0.07419947641571918
14:49:58 7.1 910024704 708728431 83084301 43.329 0.07419947641571918
14:49:59 6.4 910536704 708728679 83084549 44.303 0.07429051871806976
14:50:00 5.7 910794752 708728927 83084797 43.329 0.07429051871806976
14:50:01 5.9 910757888 708730057 83085233 44.303 0.07429031581122794
14:50:02 6.9 910606336 708730305 83085481 43.816 0.07429031581122794
14:50:03 5.9 910499840 708730553 83085729 43.816 0.07429031581122794
14:50:04 6.6 911015936 708731180 83086332 43.816 0.07429031581122794
14:50:05 5.0 911273984 708731498 83086936 43.816 0.07429031581122794
14:50:06 5.7 911523840 708731746 83087290 43.816 0.07429011290549452
14:50:07 6.4 911523840 708731994 83087538 43.329 0.07429011290549452
14:50:08 6.4 911781888 708732242 83087786 43.816 0.07429011290549452
14:50:09 6.9 911523840 708732490 83088034 44.303 0.07429011290549452
14:50:10 5.9 911523840 708732738 83088282 44.303 0.07429011290549452
14:50:11 5.9 912039936 708732986 83088530 43.329 0.07429011290549452
14:50:12 6.9 912396288 708733234 83088778 44.303 0.07428991000086944
14:50:13 6.2 912031744 708733482 83089026 43.816 0.07428991000086944
14:50:14 7.1 911515648 708733730 83089274 44.303 0.07428991000086944
14:50:15 6.4 911515648 708733978 83089522 43.329 0.07428991000086944
14:50:16 6.2 911364096 708734337 83089857 43.816 0.07428991000086944
14:50:17 6.7 910848000 708734585 83090105 43.816 0.07428991000086944
14:50:18 6.7 910733312 708734833 83090353 43.816 0.07428970709735275
14:50:19 6.9 911355904 708735081 83090601 42.842 0.07428970709735275
14:50:20 7.1 912023552 708735443 83091017 43.329 0.07428970709735275
14:50:21 6.4 911872000 708735691 83091265 43.816 0.07428970709735275
14:50:22 6.4 912236544 708735939 83091513 43.329 0.07428970709735275
14:50:23 6.9 912273408 708736187 83091761 43.329 0.07428936892728791
14:50:24 6.2 912031744 708736435 83092009 43.816 0.07438040982058115
14:50:25 7.4 912015360 708736725 83092317 43.329 0.07438040982058115
14:50:26 6.1 912015360 708736973 83092565 43.329 0.07438040982058115
14:50:27 6.4 911667200 708737221 83092813 43.816 0.07438040982058115
14:50:28 5.7 911491072 708737469 83093061 42.355 0.07437980037626893
14:50:29 7.3 911597568 708737717 83093309 42.842 0.07437980037626893
14:50:30 7.1 911491072 708737965 83093557 43.816 0.07437980037626893
14:50:31 6.7 912068608 708738213 83093805 43.329 0.07437980037626893
14:50:32 6.4 912265216 708738531 83094123 43.816 0.07437980037626893
14:50:33 6.6 912105472 708738779 83094371 42.842 0.0743795972303842
14:50:34 6.9 911740928 708739027 83094619 43.329 0.0743795972303842
14:50:35 6.4 911847424 708739275 83094867 43.329 0.0743795972303842
14:50:36 7.3 911454208 708739593 83095185 43.329 0.0743795972303842
14:50:37 7.1 911863808 708739841 83095433 43.329 0.0743795972303842
14:50:38 7.3 911446016 708740089 83095681 44.303 0.07437939408560913
14:50:39 6.9 911810560 708740337 83095929 43.329 0.07437939408560913
14:50:40 6.9 911962112 708740585 83096177 43.816 0.07437939408560913
14:50:41 5.7 911826944 708740833 83096531 43.816 0.07437939408560913
14:50:42 5.5 911962112 708741081 83096779 43.816 0.07437939408560913
14:50:43 6.1 912084992 708741329 83098909 43.816 0.07437939408560913
14:50:44 6.4 911695872 708741577 83100275 42.842 0.07437919094194372
14:50:45 6.4 911953920 708741825 83101293 42.842 0.07437919094194372
14:50:46 6.9 911925248 708742229 83102587 42.842 0.07437919094194372
14:50:47 7.1 911470592 708743351 83103633 43.816 0.07437919094194372
14:50:48 6.6 912183296 708743599 83104039 42.842 0.07437919094194372
14:50:49 6.2 912183296 708743847 83104287 42.842 0.07437919094194372
14:50:50 5.7 912175104 708744307 83104833 43.329 0.07437898779938794
14:50:51 6.2 912175104 708745469 83105456 43.816 0.07437898779938794
14:50:52 7.1 911908864 708745717 83105704 43.816 0.07437898779938794
14:50:53 6.2 912424960 708745965 83105952 42.842 0.07437898779938794
14:50:54 6.9 912683008 708746320 83106200 43.816 0.07437892008544927
14:50:55 6.4 912691200 708746568 83106448 43.329 0.0744699591553213
14:50:56 7.6 912683008 708746816 83106696 42.842 0.07446975576560234
14:50:57 7.6 912654336 708747064 83106944 43.816 0.07446975576560234
14:50:58 7.6 912396288 708747312 83107192 43.816 0.07446975576560234
14:50:59 6.4 912392192 708747560 83107440 43.329 0.07456079458683168
14:51:00 5.4 912134144 708747808 83107688 43.329 0.07456079458683168
14:51:01 6.7 912650240 708748483 83108127 43.816 0.07456079458683168
14:51:02 6.2 912900096 708748731 83108375 42.842 0.07456059094958238
14:51:03 5.9 912187392 708749049 83108693 43.329 0.07456059094958238
14:51:04 6.7 912232448 708749297 83108941 42.842 0.07456059094958238
14:51:05 5.4 911867904 708749545 83109189 42.842 0.07456059094958238
14:51:06 7.1 911093760 708749793 83109437 44.303 0.07456059094958238
14:51:07 6.4 910684160 708750111 83109755 43.816 0.07456059094958238
14:51:08 5.4 910307328 708750359 83110003 44.303 0.0745603873134454
14:51:09 6.2 911081472 708750607 83110251 42.842 0.0745603873134454
14:51:10 7.6 910929920 708750855 83110499 43.816 0.0745603873134454
14:51:11 6.9 910823424 708751103 83110747 42.355 0.0745603873134454
14:51:12 6.4 911187968 708751351 83110995 43.329 0.0745603873134454
14:51:13 6.2 911695872 708751599 83111243 42.842 0.07456018367842075
14:51:14 6.2 911695872 708751847 83111491 43.329 0.07456018367842075
14:51:15 6.4 911437824 708752095 83111739 42.842 0.07456018367842075
14:51:16 6.6 911073280 708752343 83111987 42.842 0.07456018367842075
14:51:17 5.2 911331328 708752591 83112235 42.355 0.07456018367842075
14:51:18 6.6 911847424 708752839 83112483 43.329 0.07456018367842075
14:51:19 5.7 912326656 708753201 83112829 43.816 0.0745599800445084
14:51:20 5.7 911917056 708753449 83113147 43.329 0.0745599800445084
14:51:21 5.7 912068608 708753697 83113395 42.842 0.0745599800445084
